MTU,DE_50HzT -> PL,PL -> DE_50HzT,DE_50HzT -> CZ,CZ -> DE_50HzT,DE_50HzT -> DK,DK -> DE_50HzT
03:00 - 04:00,1117.43,0.00,627.98,0.00,0.76,220.97
04:00 - 05:00,1477.13,0.00,999.95,0.00,0.00,401.35
05:00 - 06:00,1675.75,0.00,1419.17,0.00,0.00,362.04
06:00 - 07:00,1560.13,0.00,1476.83,0.00,0.00,347.54
07:00 - 08:00,1514.34,0.00,1517.37,0.00,0.00,346.78
08:00 - 09:00,1289.29,0.00,1342.77,0.00,0.00,347.31
09:00 - 10:00,1134.17,0.00,1096.05,0.00,0.00,352.68
10:00 - 11:00,1056.13,0.00,1028.53,0.00,0.00,350.98
11:00 - 12:00,1252.10,0.00,1097.18,0.00,0.00,351.68
12:00 - 13:00,1437.41,0.00,1315.77,0.00,0.00,355.84
13:00 - 14:00,1566.41,0.00,1515.47,0.00,0.00,363.73
14:00 - 15:00,1656.67,0.00,1609.58,0.00,0.00,377.09
15:00 - 16:00,1654.12,0.00,1770.85,0.00,0.00,367.89
16:00 - 17:00,1502.52,0.00,1694.70,0.00,0.00,384.66
17:00 - 18:00,1500.86,0.00,1617.42,0.00,0.00,402.80
18:00 - 19:00,1322.52,0.00,1444.50,0.00,0.00,431.49
19:00 - 20:00,1381.43,0.00,1507.27,0.00,0.00,460.89
20:00 - 21:00,1563.38,0.00,1412.83,0.00,0.00,473.97
21:00 - 22:00,1321.33,0.00,1195.75,0.00,0.00,472.49
22:00 - 23:00,1535.66,0.00,1444.50,0.00,0.00,476.09
23:00 - 00:00,1127.63,0.00,1174.65,0.00,0.00,518.75
00:00 - 01:00,1118.21,0.00,1088.50,0.00,0.00,533.96
